window_type, window_start, trigger_ts, num_flights, latency_ms, throughput_rps
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1891, 67, 0.0750396825
6h, 2025-01-01 01:00:00, 2025-01-01 07:00:00, 1459, 118, 0.0675462963
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1891, 161, 0.0750396825
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1891, 168, 0.0750396825
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1891, 176, 0.0750396825
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1891, 183, 0.0750396825
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1891, 190, 0.0750396825
1h, 2025-01-01 07:00:00, 2025-01-01 08:00:00, 1063, 164, 0.2952777778
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1891, 197, 0.0750396825
global, 2025-01-01 00:00:00, 2025-01-01 08:00:00, 3334, 55, 0.1157638889
6h, 2025-01-01 02:00:00, 2025-01-01 08:00:00, 2514, 165, 0.1163888889
6h, 2025-01-01 03:00:00, 2025-01-01 09:00:00, 3676, 185, 0.1701851852
global, 2025-01-01 00:00:00, 2025-01-01 09:00:00, 4688, 50, 0.1446913580
1h, 2025-01-01 08:00:00, 2025-01-01 09:00:00, 1168, 185, 0.3244444444
global, 2025-01-01 00:00:00, 2025-01-01 11:00:00, 5993, 236, 0.1513383838
global, 2025-01-01 00:00:00, 2025-01-01 11:00:00, 5993, 287, 0.1513383838
1h, 2025-01-01 09:00:00, 2025-01-01 10:00:00, 992, 414, 0.2755555556
1h, 2025-01-01 10:00:00, 2025-01-01 11:00:00, 1016, 310, 0.2822222222
6h, 2025-01-01 04:00:00, 2025-01-01 10:00:00, 4664, 416, 0.2159259259
6h, 2025-01-01 05:00:00, 2025-01-01 11:00:00, 5677, 315, 0.2628240741
global, 2025-01-01 00:00:00, 2025-01-01 12:00:00, 7854, 59, 0.1818055556
1h, 2025-01-01 11:00:00, 2025-01-01 12:00:00, 1148, 196, 0.3188888889
