window_type, window_start, trigger_ts, num_flights, latency_ms, throughput_rps
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 2056, 47, 0.0815873016
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 2056, 52, 0.0815873016
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 2056, 53, 0.0815873016
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 2056, 54, 0.0815873016
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 2056, 56, 0.0815873016
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 2056, 57, 0.0815873016
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 2056, 58, 0.0815873016
6h, 2025-01-01 01:00:00, 2025-01-01 07:00:00, 1459, 116, 0.0675462963
6h, 2025-01-01 02:00:00, 2025-01-01 08:00:00, 2514, 361, 0.1163888889
1h, 2025-01-01 07:00:00, 2025-01-01 08:00:00, 1063, 359, 0.2952777778
global, 2025-01-01 00:00:00, 2025-01-01 08:00:00, 3045, 265, 0.1057291667
1h, 2025-01-01 08:00:00, 2025-01-01 09:00:00, 1168, 299, 0.3244444444
1h, 2025-01-01 09:00:00, 2025-01-01 10:00:00, 992, 56, 0.2755555556
6h, 2025-01-01 03:00:00, 2025-01-01 09:00:00, 3676, 301, 0.1701851852
6h, 2025-01-01 04:00:00, 2025-01-01 10:00:00, 4664, 58, 0.2159259259
global, 2025-01-01 00:00:00, 2025-01-01 10:00:00, 4940, 11, 0.1372222222
global, 2025-01-01 00:00:00, 2025-01-01 10:00:00, 4940, 14, 0.1372222222
6h, 2025-01-01 05:00:00, 2025-01-01 11:00:00, 5677, 158, 0.2628240741
1h, 2025-01-01 10:00:00, 2025-01-01 11:00:00, 1016, 156, 0.2822222222
global, 2025-01-01 00:00:00, 2025-01-01 11:00:00, 6438, 19, 0.1625757576
6h, 2025-01-01 06:00:00, 2025-01-01 12:00:00, 6425, 173, 0.2974537037
6h, 2025-01-01 07:00:00, 2025-01-01 13:00:00, 6430, 48, 0.2976851852
1h, 2025-01-01 11:00:00, 2025-01-01 12:00:00, 1148, 153, 0.3188888889
1h, 2025-01-01 12:00:00, 2025-01-01 13:00:00, 1043, 27, 0.2897222222
global, 2025-01-01 00:00:00, 2025-01-01 13:00:00, 8035, 23, 0.1716880342
1h, 2025-01-01 13:00:00, 2025-01-01 14:00:00, 1023, 110, 0.2841666667
6h, 2025-01-01 08:00:00, 2025-01-01 14:00:00, 6390, 173, 0.2958333333
global, 2025-01-01 00:00:00, 2025-01-01 14:00:00, 9673, 36, 0.1919246032
global, 2025-01-01 00:00:00, 2025-01-01 14:00:00, 9673, 40, 0.1919246032
1h, 2025-01-01 14:00:00, 2025-01-01 15:00:00, 1055, 156, 0.2930555556
6h, 2025-01-01 09:00:00, 2025-01-01 15:00:00, 6277, 212, 0.2906018519
global, 2025-01-01 00:00:00, 2025-01-01 16:00:00, 11059, 30, 0.1919965278
1h, 2025-01-01 16:00:00, 2025-01-01 17:00:00, 1043, 89, 0.2897222222
6h, 2025-01-01 10:00:00, 2025-01-01 16:00:00, 6244, 233, 0.2890740741
6h, 2025-01-01 11:00:00, 2025-01-01 17:00:00, 6271, 100, 0.2903240741
global, 2025-01-01 00:00:00, 2025-01-01 17:00:00, 12598, 28, 0.2058496732
global, 2025-01-01 00:00:00, 2025-01-01 17:00:00, 12598, 29, 0.2058496732
1h, 2025-01-01 15:00:00, 2025-01-01 16:00:00, 959, 222, 0.2663888889
1h, 2025-01-01 17:00:00, 2025-01-01 18:00:00, 1034, 164, 0.2872222222
6h, 2025-01-01 12:00:00, 2025-01-01 18:00:00, 6157, 168, 0.2850462963
global, 2025-01-01 00:00:00, 2025-01-01 18:00:00, 13962, 54, 0.2154629630
1h, 2025-01-01 19:00:00, 2025-01-01 20:00:00, 888, 106, 0.2466666667
6h, 2025-01-01 13:00:00, 2025-01-01 19:00:00, 6160, 227, 0.2851851852
6h, 2025-01-01 14:00:00, 2025-01-01 20:00:00, 6025, 126, 0.2789351852
1h, 2025-01-01 18:00:00, 2025-01-01 19:00:00, 1046, 208, 0.2905555556
global, 2025-01-01 00:00:00, 2025-01-01 21:00:00, 15809, 27, 0.2091137566
global, 2025-01-01 00:00:00, 2025-01-01 21:00:00, 15809, 30, 0.2091137566
1h, 2025-01-01 20:00:00, 2025-01-01 21:00:00, 797, 213, 0.2213888889
1h, 2025-01-01 22:00:00, 2025-01-01 23:00:00, 362, 114, 0.1005555556
1h, 2025-01-01 21:00:00, 2025-01-01 22:00:00, 482, 157, 0.1338888889
6h, 2025-01-01 15:00:00, 2025-01-01 21:00:00, 5767, 258, 0.2669907407
6h, 2025-01-01 16:00:00, 2025-01-01 22:00:00, 5290, 202, 0.2449074074
6h, 2025-01-01 17:00:00, 2025-01-01 23:00:00, 4609, 160, 0.2133796296
6h, 2025-01-01 18:00:00, 2025-01-02 00:00:00, 3739, 139, 0.1731018519
6h, 2025-01-01 19:00:00, 2025-01-02 01:00:00, 2731, 135, 0.1264351852
6h, 2025-01-01 20:00:00, 2025-01-02 02:00:00, 1855, 134, 0.0858796296
6h, 2025-01-01 21:00:00, 2025-01-02 03:00:00, 1064, 133, 0.0492592593
6h, 2025-01-01 22:00:00, 2025-01-02 04:00:00, 587, 131, 0.0271759259
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17373, 35, 0.1664080460
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17373, 36, 0.1664080460
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17373, 38, 0.1664080460
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17373, 39, 0.1664080460
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17373, 40, 0.1664080460
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17373, 42, 0.1664080460
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17373, 43, 0.1664080460
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17373, 45, 0.1664080460
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17373, 46, 0.1664080460
6h, 2025-01-02 01:00:00, 2025-01-02 07:00:00, 2063, 222, 0.0955092593
global, 2025-01-01 00:00:00, 2025-01-02 07:00:00, 18895, 36, 0.1693100358
global, 2025-01-01 00:00:00, 2025-01-02 08:00:00, 20334, 28, 0.1765104167
1h, 2025-01-02 06:00:00, 2025-01-02 07:00:00, 1326, 222, 0.3683333333
global, 2025-01-01 00:00:00, 2025-01-02 09:00:00, 22271, 19, 0.1874663300
1h, 2025-01-02 07:00:00, 2025-01-02 08:00:00, 1328, 241, 0.3688888889
1h, 2025-01-02 08:00:00, 2025-01-02 09:00:00, 1286, 105, 0.3572222222
global, 2025-01-01 00:00:00, 2025-01-02 09:00:00, 22271, 21, 0.1874663300
6h, 2025-01-02 02:00:00, 2025-01-02 08:00:00, 3379, 246, 0.1564351852
6h, 2025-01-02 03:00:00, 2025-01-02 09:00:00, 4659, 111, 0.2156944444
1h, 2025-01-02 09:00:00, 2025-01-02 10:00:00, 1066, 175, 0.2961111111
1h, 2025-01-02 10:00:00, 2025-01-02 11:00:00, 1117, 40, 0.3102777778
6h, 2025-01-02 04:00:00, 2025-01-02 10:00:00, 5720, 200, 0.2648148148
6h, 2025-01-02 05:00:00, 2025-01-02 11:00:00, 6833, 65, 0.3163425926
global, 2025-01-01 00:00:00, 2025-01-02 11:00:00, 23851, 38, 0.1892936508
1h, 2025-01-02 11:00:00, 2025-01-02 12:00:00, 1188, 102, 0.3300000000
6h, 2025-01-02 06:00:00, 2025-01-02 12:00:00, 7311, 161, 0.3384722222
global, 2025-01-01 00:00:00, 2025-01-02 12:00:00, 25532, 32, 0.1970061728
global, 2025-01-01 00:00:00, 2025-01-02 12:00:00, 25532, 33, 0.1970061728
6h, 2025-01-02 07:00:00, 2025-01-02 13:00:00, 7137, 162, 0.3304166667
1h, 2025-01-02 12:00:00, 2025-01-02 13:00:00, 1152, 146, 0.3200000000
global, 2025-01-01 00:00:00, 2025-01-02 14:00:00, 27168, 33, 0.1985964912
1h, 2025-01-02 13:00:00, 2025-01-02 14:00:00, 1074, 223, 0.2983333333
1h, 2025-01-02 14:00:00, 2025-01-02 15:00:00, 1094, 87, 0.3038888889
